number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,-1.5451012574624954,2025-05-28 09:20:57.371274,2025-05-28 09:35:23.585143,0 days 00:14:26.213869,0.14977781855088107,10,772,0.9106244671429653,COMPLETE
1,-1.0650499306279373,2025-05-28 09:35:23.587120,2025-05-28 09:37:23.604583,0 days 00:02:00.017463,0.2815479673753008,4,449,0.5261539447933496,COMPLETE
2,-0.7249168125938569,2025-05-28 09:37:23.606019,2025-05-28 09:44:09.454776,0 days 00:06:45.848757,0.09347062531602494,10,261,0.7708440885807704,COMPLETE
3,-0.7130270492303813,2025-05-28 09:44:09.455779,2025-05-28 09:46:43.314706,0 days 00:02:33.858927,0.18520739610849932,5,457,0.5247227058214502,COMPLETE
4,-0.6285409741672686,2025-05-28 09:46:43.315689,2025-05-28 09:55:51.917800,0 days 00:09:08.602111,0.07251535264481009,7,792,0.9592003140600789,COMPLETE
5,-0.6179507610747876,2025-05-28 09:55:51.918755,2025-05-28 10:00:19.177859,0 days 00:04:27.259104,0.09639080744399658,7,511,0.5363293516020091,COMPLETE
6,-0.6059034600899462,2025-05-28 10:00:19.179459,2025-05-28 10:03:14.065985,0 days 00:02:54.886526,0.13603204640758365,10,126,0.7085511452228208,COMPLETE
7,-0.44861649824206185,2025-05-28 10:03:14.066824,2025-05-28 10:10:54.270790,0 days 00:07:40.203966,0.042772304459834216,6,819,0.8130350583948646,COMPLETE
8,-0.958715243769771,2025-05-28 10:10:54.271488,2025-05-28 10:19:40.188119,0 days 00:08:45.916631,0.1522150791904349,7,744,0.7484706771806028,COMPLETE
9,-0.698752353259595,2025-05-28 10:19:40.188769,2025-05-28 10:23:24.842909,0 days 00:03:44.654140,0.15296645652392543,8,295,0.7423600190907704,COMPLETE
10,-0.3902347024052251,2025-05-28 10:23:24.843855,2025-05-28 10:27:42.933638,0 days 00:04:18.089783,0.01453295954596535,3,987,0.8760999751867288,COMPLETE
11,-0.38609506085117284,2025-05-28 10:27:42.936885,2025-05-28 10:31:42.347439,0 days 00:03:59.410554,0.02346768893613321,3,964,0.8379174162749489,COMPLETE
12,-0.3936462639740551,2025-05-28 10:31:42.348205,2025-05-28 10:36:00.420970,0 days 00:04:18.072765,0.010779415066511996,3,988,0.8709512353263291,COMPLETE
13,-0.38644285162464626,2025-05-28 10:36:00.422153,2025-05-28 10:47:09.767331,0 days 00:11:09.345178,0.02083279624588874,3,976,0.6586220331848665,COMPLETE
14,-0.6300924436973891,2025-05-28 10:47:09.768938,2025-05-28 10:51:21.591585,0 days 00:04:11.822647,0.24269564029818136,4,893,0.6449456035397663,COMPLETE
15,-0.4193407968349979,2025-05-28 10:51:21.592413,2025-05-28 10:54:41.621652,0 days 00:03:20.029239,0.05697875418903239,5,645,0.6340247968710682,COMPLETE
16,-0.5510815579617906,2025-05-28 10:54:41.623048,2025-05-28 10:56:43.795127,0 days 00:02:02.172079,0.20084756522710098,3,623,0.6198001914356426,COMPLETE
17,-0.445345990586769,2025-05-28 10:56:43.795904,2025-05-28 11:01:34.123928,0 days 00:04:50.328024,0.11533509174132793,4,870,0.9886899483910038,COMPLETE
18,-0.4031863904648191,2025-05-28 11:01:34.124802,2025-05-28 11:05:15.326449,0 days 00:03:41.201647,0.0400981949529153,5,665,0.6819217152497622,COMPLETE
19,-0.3951014963183198,2025-05-28 11:05:15.327421,2025-05-28 11:08:55.103962,0 days 00:03:39.776541,0.07282229301323558,3,918,0.8273064867996646,COMPLETE
